player,acronym,position
Karim Benzema,FW,Forward
Lionel Messi,MF,Midfielder
Luka Modric,MF,Midfielder
Cristiano Ronaldo,MF,Midfielder
Kaká,MF,Midfielder
Fabio Cannavaro,DF,Defender
Ronaldinho,MF,Midfielder
Andriy Shevchenko,FW,Forward
Pavel Nedvěd,MF,Midfielder
Ronaldo,FW,Forward
Michael Owen,FW,Forward
Luís Figo,MF,Midfielder
Rivaldo,MF,Midfielder
Zinedine Zidane,MF,Midfielder
Matthias Sammer,DF,Defender
George Weah,FW,Forward
Hristo Stoichkov,MF,Midfielder
Roberto Baggio,MF,Midfielder
Marco van Basten,FW,Forward
Jean-Pierre Papin,FW,Forward
Lothar Matthäus,DF,Defender
Ruud Gullit,MF,Midfielder
Igor Belanov,MF,Midfielder
Michel Platini,MF,Midfielder
Paolo Rossi,FW,Forward
Karl-Heinz Rummenigge,FW,Forward
Kevin Keegan,FW,Forward
Allan Simonsen,FW,Forward
Franz Beckenbauer,DF,Defender
Oleg Blokhin,DF,Defender
Johan Cruyff,MF,Midfielder
Gerd Müller,FW,Forward
Gianni Rivera,MF,Midfielder
George Best,MF,Midfielder
Flórián Albert,FW,Forward
Bobby Charlton,MF,Midfielder
Eusébio,FW,Forward
Denis Law,FW,Forward
Lev Yashin,GK,Goalkeeper
Josef Masopust,MF,Midfielder
Omar Sívori,MF,Midfielder
Luis Suárez,MF,Midfielder
Alfredo Di Stéfano,FW,Forward
Raymond Kopa,MF,Midfielder
Stanley Matthews,MF,Midfielder
